INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2025-04-08T01:00:00-00:00,2025-04-08T02:00:00-00:00,2025-04-07,19,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCE,LMP_ENE_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,37.57927,3
2025-04-07T19:00:00-00:00,2025-04-07T20:00:00-00:00,2025-04-07,13,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCL,LMP_LOSS_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,0.02089,4
2025-04-07T21:00:00-00:00,2025-04-07T22:00:00-00:00,2025-04-07,15,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCL,LMP_LOSS_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-0.1187,4
2025-04-08T03:00:00-00:00,2025-04-08T04:00:00-00:00,2025-04-07,21,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCL,LMP_LOSS_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-0.15332,4
2025-04-07T08:00:00-00:00,2025-04-07T09:00:00-00:00,2025-04-07,2,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCL,LMP_LOSS_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-2.66076,4
2025-04-07T23:00:00-00:00,2025-04-08T00:00:00-00:00,2025-04-07,17,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCL,LMP_LOSS_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-0.0017,4
2025-04-08T06:00:00-00:00,2025-04-08T07:00:00-00:00,2025-04-07,24,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCL,LMP_LOSS_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-1.75871,4
2025-04-07T11:00:00-00:00,2025-04-07T12:00:00-00:00,2025-04-07,5,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCL,LMP_LOSS_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-2.78604,4
2025-04-07T14:00:00-00:00,2025-04-07T15:00:00-00:00,2025-04-07,8,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCL,LMP_LOSS_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,0.40534,4
2025-04-07T16:00:00-00:00,2025-04-07T17:00:00-00:00,2025-04-07,10,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCL,LMP_LOSS_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,0.33787,4
