OPR_DT,NODE,MW,INTERVALSTARTTIME,INTERVALENDTIME,Hour_Label
2025-04-14,POD_ADLIN_1_UNITS-APND,50.61461,2025-04-14 18:00:00,2025-04-14 19:00:00,18:00-19:00
2025-04-14,POD_ADLIN_1_UNITS-APND,58.95041,2025-04-14 19:00:00,2025-04-14 20:00:00,19:00-20:00
2025-04-14,POD_ADLIN_1_UNITS-APND,42.27322,2025-04-14 20:00:00,2025-04-14 21:00:00,20:00-21:00
2025-04-14,POD_ADLIN_1_UNITS-APND,44.36516,2025-04-14 21:00:00,2025-04-14 22:00:00,21:00-22:00
2025-04-14,POD_ADLIN_1_UNITS-APND,41.93543,2025-04-14 22:00:00,2025-04-14 23:00:00,22:00-23:00
2025-04-14,POD_ADLIN_1_UNITS-APND,39.42907,2025-04-14 23:00:00,2025-04-15 00:00:00,23:00-00:00
2025-04-15,POD_ADLIN_1_UNITS-APND,33.96638,2025-04-15 00:00:00,2025-04-15 01:00:00,00:00-01:00
2025-04-15,POD_ADLIN_1_UNITS-APND,29.58467,2025-04-15 01:00:00,2025-04-15 02:00:00,01:00-02:00
2025-04-15,POD_ADLIN_1_UNITS-APND,34.13103,2025-04-15 02:00:00,2025-04-15 03:00:00,02:00-03:00
2025-04-15,POD_ADLIN_1_UNITS-APND,33.81308,2025-04-15 03:00:00,2025-04-15 04:00:00,03:00-04:00
2025-04-15,POD_ADLIN_1_UNITS-APND,34.33747,2025-04-15 04:00:00,2025-04-15 05:00:00,04:00-05:00
2025-04-15,POD_ADLIN_1_UNITS-APND,39.0284,2025-04-15 05:00:00,2025-04-15 06:00:00,05:00-06:00
2025-04-15,POD_ADLIN_1_UNITS-APND,43.40122,2025-04-15 06:00:00,2025-04-15 07:00:00,06:00-07:00
2025-04-15,POD_ADLIN_1_UNITS-APND,30.27363,2025-04-15 07:00:00,2025-04-15 08:00:00,07:00-08:00
2025-04-15,POD_ADLIN_1_UNITS-APND,23.3475,2025-04-15 08:00:00,2025-04-15 09:00:00,08:00-09:00
2025-04-15,POD_ADLIN_1_UNITS-APND,19.1792,2025-04-15 09:00:00,2025-04-15 10:00:00,09:00-10:00
2025-04-15,POD_ADLIN_1_UNITS-APND,13.82275,2025-04-15 10:00:00,2025-04-15 11:00:00,10:00-11:00
2025-04-15,POD_ADLIN_1_UNITS-APND,10.6288,2025-04-15 11:00:00,2025-04-15 12:00:00,11:00-12:00
2025-04-15,POD_ADLIN_1_UNITS-APND,9.88833,2025-04-15 12:00:00,2025-04-15 13:00:00,12:00-13:00
2025-04-15,POD_ADLIN_1_UNITS-APND,10.01708,2025-04-15 13:00:00,2025-04-15 14:00:00,13:00-14:00
2025-04-15,POD_ADLIN_1_UNITS-APND,10.00382,2025-04-15 14:00:00,2025-04-15 15:00:00,14:00-15:00
2025-04-15,POD_ADLIN_1_UNITS-APND,10.61458,2025-04-15 15:00:00,2025-04-15 16:00:00,15:00-16:00
2025-04-15,POD_ADLIN_1_UNITS-APND,13.21138,2025-04-15 16:00:00,2025-04-15 17:00:00,16:00-17:00
